Book,Chapter,Section,Text,Title
2,121A,3,"[3]
       
καὶ τὸν μὲν τελευτῆσαι τὸν βίον, τοὺς δὲ παῖδας οὐκ ἐς μακρὴν ἔργου ἔχεσθαι, ἐπελθόντας δὲ ἐπὶ τὰ βασιλήια νυκτὸς καὶ τὸν λίθον ἐπὶ τῷ οἰκοδομήματι ἀνευρόντας ῥηιδίως μεταχειρίσασθαι καὶ τῶν χρημάτων πολλὰ ἐξενείκασθαι.",2.121A.3
6,65,4,"[4]
       
τούτου δὴ ἐπιβατεύων τοῦ ῥήματος ὁ Λευτυχίδης ἀπέφαινε τὸν Δημάρητον οὔτε ἐξ Ἀρίστωνος γεγονότα οὔτε ἱκνευμένως βασιλεύοντα Σπάρτης, τοὺς ἐφόρους μάρτυρας παρεχόμενος κείνους οἳ τότε ἐτύγχανον πάρεδροί τε ἐόντες καὶ ἀκούσαντες ταῦτα Ἀρίστωνος.",6.65.4
2,136,2,"[2]
       
ἐπὶ τούτου βασιλεύοντος ἔλεγον, ἀμιξίης ἐούσης πολλῆς χρημάτων, γενέσθαι νόμον Αἰγυπτίοισι, ἀποδεικνύντα ἐνέχυρον τοῦ πατρὸς τὸν νέκυν οὕτω λαμβάνειν τὸ χρέος: προστεθῆναι δὲ ἔτι τούτῳ τῷ νόμῳ τόνδε, τὸν διδόντα τὸ χρέος καὶ ἁπάσης κρατέειν τῆς τοῦ λαμβάνοντος θήκης, τῷ δὲ ὑποτιθέντι τοῦτο τὸ ἐνέχυρον τήνδε ἐπεῖναι ζημίην μὴ βουλομένῳ ἀποδοῦναι τὸ χρέος, μήτε αὐτῷ ἐκείνῳ τελευτήσαντι εἶναι ταφῆς κυρῆσαι μήτ᾽ ἐν ἐκείνῳ τῷ πατρωίῳ τάφῳ μήτ᾽ ἐν ἄλλῳ μηδενί, μήτε ἄλλον μηδένα τῶν ἑωυτοῦ ἀπογενόμενον θάψαι.",2.136.2
4,84,2,"[2]
       
ὁ μὲν δὴ Οἰόβαζος περιχαρὴς ἦν, ἐλπίζων τοὺς υἱέας στρατηίης ἀπολελύσθαι.  ὁ δὲ ἐκέλευσε τοὺς ἐπὶ τούτων ἐπεστεῶτας ἀποκτεῖναι πάντας τοὺς Οἰοβάζου παῖδας.",4.84.2
1,214,3,"[3]
       
ἥ τε δὴ πολλὴ τῆς Περσικῆς στρατιῆς αὐτοῦ ταύτῃ διεφθάρη καὶ δὴ καὶ αὐτὸς Κῦρος τελευτᾷ, βασιλεύσας τὰ πάντα ἑνὸς δέοντα τριήκοντα ἔτεα.",1.214.3
3,148,2,"[2]
       
τοῦτο καὶ δὶς καὶ τρὶς εἴπαντος Μαιανδρίου ὁ Κλεομένης δικαιότατος ἀνδρῶν γίνεται, ὃς λαβεῖν μὲν διδόμενα οὐκ ἐδικαίου, μαθὼν δὲ ὡς ἄλλοισι διδοὺς τῶν ἀστῶν εὑρήσεται τιμωρίην, βὰς ἐπὶ τοὺς ἐφόρους ἄμεινον εἶναι ἔφη τῇ Σπάρτῃ τὸν ξεῖνον τὸν Σάμιον ἀπαλλάσσεσθαι ἐκ τῆς Πελοποννήσου, ἵνα μὴ ἀναπείσῃ ἢ αὐτὸν ἢ ἄλλον τινὰ Σπαρτιητέων κακὸν γενέσθαι.  οἳ δ᾽ ὑπακούσαντες ἐξεκήρυξαν Μαιάνδριον.",3.148.2
1,75,6,"[6]
       
οἳ δὲ καὶ τὸ παράπαν λέγουσι καὶ τὸ ἀρχαῖον ῥέεθρον ἀποξηρανθῆναι.  ἀλλὰ τοῦτο μὲν οὐ προσίεμαι: κῶς γὰρ ὀπίσω πορευόμενοι διέβησαν αὐτόν;",1.75.6
6,139,4,"[4]
       
οἱ δὲ Πελασγοὶ ὑπολαβόντες εἶπαν ‘ἐπεὰν βορέῃ ἀνέμῳ αὐτημερὸν ἐξανύσῃ νηῦς ἐκ τῆς ὑμετέρης ἐς τὴν ἡμετέρην, τότε παραδώσομεν,’ ἐπιστάμενοι τοῦτο εἶναι ἀδύνατον γενέσθαι. ἡ γὰρ Ἀττικὴ πρὸς νότον κεῖται πολλὸν τῆς Λήμνου.",6.139.4
8,21,2,"[2]
       
οὗτος ὦν ὁ Ἀβρώνιχος ἀπικόμενός σφι ἐσήμαινε τὰ γεγονότα περὶ Λεωνίδην καὶ τὸν στρατὸν αὐτοῦ. οἳ δὲ ὡς ἐπύθοντο ταῦτα, οὐκέτι ἐς ἀναβολὰς ἐποιεῦντο τὴν ἀποχώρησιν, ἐκομίζοντο δὲ ὡς ἕκαστοι ἐτάχθησαν, Κορίνθιοι πρῶτοι, ὕστατοι δὲ Ἀθηναῖοι.",8.21.2
3,126,2,"[2]
       
ὁ δὲ ἐν ταύτῃ τῇ ταραχῇ κατὰ μὲν ἔκτεινε Μιτροβάτεα τὸν ἐκ Δασκυλείου ὕπαρχον, ὅς οἱ ὠνείδισε τὰ ἐς Πολυκράτεα ἔχοντα, κατὰ δὲ τοῦ Μιτροβάτεω τὸν παῖδα Κρανάσπην, ἄνδρας ἐν Πέρσῃσι δοκίμους, ἄλλα τε ἐξύβρισε παντοῖα καί τινα ἀγγελιηφόρον ἐλθόντα Δαρείου παρ᾽ αὐτόν, ὡς οὐ πρὸς ἡδονήν οἱ ἦν τὰ ἀγγελλόμενα, κτείνει μιν ὀπίσω κομιζόμενον, ἄνδρας οἱ ὑπείσας κατ᾽ ὁδόν, ἀποκτείνας δέ μιν ἠφάνισε αὐτῷ ἵππῳ.",3.126.2
