name,date,county,county_state,city,city_state,state,race,denomination
Independent National Spiritual Church,1930,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Spiritualist
Bayou George Assembly,1936,Bay,"Bay County, Florida",Bayou George,"Bayou George, Florida",Florida,White,Pentecostal
"New Bethel African Methodist Episcopal, The Second",1928,Indian River,"Indian River County, Florida",Gifford,"Gifford, Florida",Florida,African-American,African Methodist Episcopal
Pentecostal Holiness Church,1937,Volusia,"Volusia County, Florida",Oak Hill,"Oak Hill, Florida",Florida,White,Pentecostal Holiness General Conference
Brandy Branch Baptist Church,1880,Nassau,"Nassau County, Florida",Brandy Branch,"Brandy Branch, Florida",Florida,White,Southern Baptist Convention
"Pine Grove Methodist Episcopal Church, South",1876,Volusia,"Volusia County, Florida",DeLeon Springs,"DeLeon Springs, Florida",Florida,White,"Methodist Episcopal Church, South"
Gretna Baptist Church,1912,Gadsden,"Gadsden County, Florida",Gretna,"Gretna, Florida",Florida,White,Baptist
Altha Missionary Baptist Church,1915,Calhoun,"Calhoun County, Florida",Altha,"Altha, Florida",Florida,White,Baptist
Evergreen Baptist Church,1908,Madison,"Madison County, Florida",Madison,"Madison, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Gainesville Gospel Tabernacle,1931,Alachua,"Alachua County, Florida",Gainesville,"Gainesville, Florida",Florida,White,Protestant
Bethlehem Missionary Baptist Church,1890,Volusia,"Volusia County, Florida",DeLeon Springs,"DeLeon Springs, Florida",Florida,African-American,National Baptist Convention of America Inc.
First Baptist Church,1885,Pasco,"Pasco County, Florida",Richland,"Richland, Florida",Florida,White,Southern Baptist Convention
Church of Christ,1915,Pasco,"Pasco County, Florida",Zephyrhills,"Zephyrhills, Florida",Florida,White,Disciples of Christ
Shiloh Church,1875,Gadsden,"Gadsden County, Florida",Quincy,"Quincy, Florida",Florida,African-American,Primitive Baptist
Mount Pleasant Missionary Baptist Church,1923,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,African-American,Baptist
Olive Baptist Church,1859,Jefferson,"Jefferson County, Florida",Monticello,"Monticello, Florida",Florida,African-American,Southern Baptist Convention
Hurst Chapel African Methodist Episcopal,1918,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,African-American,African Methodist Episcopal Church
Church of God in Christ,1924,Pasco,"Pasco County, Florida",Dade City,"Dade City, Florida",Florida,African-American,Church of God in Christ
Assembly of God  Holiness Church,1914,Bay,"Bay County, Florida",Millville,"Millville, Florida",Florida,White,Pentecostal
2nd St. Paul Missionary Baptist Church,1933,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
Church of Seventh Day Adventist,1911,Osceola,"Osceola County, Florida",St. Cloud,"St. Cloud, Florida",Florida,White,Seventh-day Adventist Church
Church of the Holy Cross,1906,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,White,Episcopal
Second Bethel Missionary Baptist Church,1911,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
First Born Church of The Living God,1929,Wakulla,"Wakulla County, Florida",Crawfordville,"Crawfordville, Florida",Florida,African-American,First Born Church of The Living God
First Presbyterian Church,1923,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Presbyterian Church of the United States
Pilgrim Rest Baptist Church,1932,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Saint Luke's Baptist Church,1940,Suwannee,"Suwannee County, Florida",Falmouth,"Falmouth, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Church of God in Christ,1935,Orange,"Orange County, Florida",Winter Garden,"Winter Garden, Florida",Florida,African-American,Conventional Holiness
Canaveral Seventh Day Adventist Church,1923,Brevard,"Brevard County, Florida",Canaveral,"Canaveral, Florida",Florida,White,Adventist
Zion Baptist Church,1881,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Elim Primitive Baptist Church,1885,Polk,"Polk County, Florida",Fort Meade,"Fort Meade, Florida",Florida,White,Mount Enon Primitive Baptist Church
Antioch Church,1928,Gadsden,"Gadsden County, Florida",Quincy,"Quincy, Florida",Florida,African-American,Baptist
The Church of St. Luke and St.Peter,1888,Osceola,"Osceola County, Florida",St. Cloud,"St. Cloud, Florida",Florida,White,Protestant Episcopal Church
Providence Mission School,1880s,Duval,"Duval County, Florida",Tiger Hole,"Tiger Hole, Florida",Florida,African-American,Episcopal
Little Bethel African Methodist Episcopal Church,1896,Bay,"Bay County, Florida",Sandy Creek,"Sandy Creek, Florida",Florida,African-American,Methodist
Holopaw A.M.E. Church,1924,Osceola,"Osceola County, Florida",Holopaw,"Holopaw, Florida",Florida,African-American,African Methodist Episcopal
Magnolia Baptist Church,1873,Calhoun,"Calhoun County, Florida",Blountstown,"Blountstown, Florida",Florida,White,Baptist
Memorial Church,1904,Jefferson,"Jefferson County, Florida",Monticello,"Monticello, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Bethel Baptist Church,1891,Holmes,"Holmes County, Florida",Graceville,"Graceville, Florida",Florida,White,Baptist
Saint James African Methodist Episcopal Church,1930,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,African-American,African Methodist Episcopal Church
Hurst Chapel,1924,Palm Beach,"Palm Beach County, Florida",Riviera,"Riviera, Florida",Florida,African-American,African Methodist Episcopal Church
Mount Zion Baptist Church,1875,Nassau,"Nassau County, Florida",Chester,"Chester, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
"Church of Christ, Scientist",1916,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,White,"Church of Christ, Scientist"
Glen Baptist Church,1908,Baker,"Baker County, Florida",Glen Saint Mary,"Glen Saint Mary, Florida",Florida,White,Baptist
Friendship Baptist Church,1913,Osceola,"Osceola County, Florida",St. Cloud,"St. Cloud, Florida",Florida,African-American,National Baptist Convention of America Inc.
Plant City Primitive Baptist Church,1916,Hillsborough,"Hillsborough County, Florida",Plant City,"Plant City, Florida",Florida,White,Primitive Baptist
Popular Head Baptist Church,1903,Calhoun,"Calhoun County, Florida",Clarksville,"Clarksville, Florida",Florida,White,Baptist
Lake Mary Methodist Church,1923,Seminole,"Seminole County, Florida",Lake Mary,"Lake Mary, Florida",Florida,White,"Methodist Episcopal Church, South"
Macedonia Baptist Church,1939,Marion,"Marion County, Florida",Fairfield,"Fairfield, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Campshead Second Advent,1935,Calhoun,"Calhoun County, Florida",Blountstown,"Blountstown, Florida",Florida,White,Adventist
Ormund Union Church,1888,Volusia,"Volusia County, Florida",Ormond,"Ormond, Florida",Florida,White,Congregational and Christian Churches
Holy Innocents,1895,Monroe,"Monroe County, Florida",Key West,"Key West, Florida",Florida,White,Protestant Episcopal
Church of Christ,1938,Volusia,"Volusia County, Florida",Ormond,"Ormond, Florida",Florida,White,Church of Christ
Presbyterian Church,1887,Brevard,"Brevard County, Florida",Titusville,"Titusville, Florida",Florida,White,Presbyterian
St. Agnes Church,1926,Highlands,"Highlands County, Florida",Sebring,"Sebring, Florida",Florida,White,Protestant Episcopal
Cornish Chapel African Methodist Episcopal Zion Church,1864,Monroe,"Monroe County, Florida",Key West,"Key West, Florida",Florida,African-American,African Methodist Episcopal Church
Church of Jesus Christ of Latter Day Saints,1923,Putnam,"Putnam County, Florida",San Mateo,"San Mateo, Florida",Florida,White,Church of Jesus Christ of Latter Day Saints
Oak Grove Baptist Church,1900,Alachua,"Alachua County, Florida",Alachua,"Alachua, Florida",Florida,African-American,Baptist
Mission of Atocumi,1696,Volusia,"Volusia County, Florida",New Smyrna Beach,"New Smyrna Beach, Florida",Florida,Native-American,Roman Catholic
Morriston Baptist Church,1900,Levy,"Levy County, Florida",Morriston,"Morriston, Florida",Florida,White,Baptist
Oak Grove Baptist Church,1910,Levy,"Levy County, Florida",Sumner,"Sumner, Florida",Florida,African-American,Baptist
Mt. Zion Baptist Church,1904,Okaloosa,"Okaloosa County, Florida",Laurel Hill,"Laurel Hill, Florida",Florida,African-American,National Baptist Convention of America Inc.
